Abfahrt ▼,Ist ▼,Zugnr. ▼,nach (Ankunft) ▼,Gleis ▼
13:27,13:27,ICE 2843,Erfurt Hbf (an 15:28),
13:27 (+54),14:21,ICE 2849,München Hbf (an 21:15),4
13:27 (+54),14:21,ICE 691,München Hbf (an 21:15),4
13:28 (+5),13:33,RJ 383,Praha hl.n. (an 17:25),3
13:32 (+2),13:34,RE 3349,Luckenwalde (an 14:27),1 A - D
13:37 (+9),13:46,ICE 1509,München Hbf (an 17:43),4
13:37 (+30),14:07,ICE 600,Hamburg Hbf (an 15:24),6
13:37,13:37,RB 21883,Flughafen BER (an 14:00),1 D - G
13:41 (+7),13:48,RE 62016,Elsterwerda (an 15:14),2
13:46 (+1),13:47,RE 3512,Grimmen (an 16:29),5
13:47 (+5),13:52,ICE 848,Düsseldorf Hbf (an 18:07),7
13:47 (+5),13:52,ICE 858,Köln Hbf (an 18:22),7
13:52,13:52,RB 21885,Flughafen BER (an 14:14),1
13:53 (+66),14:59,FLX 1241,Berlin Südkreuz (an 13:58),3
13:54 (+5),13:59,RE 3175,Stendal Hbf (an 15:13),7
13:56 (+11),14:07,ICE 1205,Innsbruck Hbf (an 21:29),3
14:07,14:07,RB 18516,Lübbenau(Spreewald) (an 15:15),1
14:07,14:07,RE 3172,Jüterbog (an 14:54),2
14:14 (+9),14:23,RE 3511,Berlin Südkreuz (an 14:23),4
14:15 (+58),15:13,ICE 847,Berlin Südkreuz (an 14:20),3
14:15 (+58),15:13,ICE 857,Berlin Südkreuz (an 14:20),3
14:16 (+2),14:18,ICE 142,Amsterdam Centraal (an 19:59),8
14:18 (+37),14:55,FLX 1238,Hamburg-Bergedorf (an 16:11),6
14:23 (+3),14:26,RE 3350,Schwedt(Oder) (an 15:55),6
14:25 (+1),14:26,RE 62021,Wismar (an 17:37),7 D - G
14:26 (+1),14:27,ICE 1600,Berlin Gesundbrunnen (an 14:31),5
